Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
SRPXVCK3,"Macaulay Rd, Kensington",VIC,3031,0.198,Solar,2025-03-05,2025-04-01,-37.794511,144.9307387,Kensington,Melbourne City,Victoria,3031.0,Australia,"Macaulay Rd, Kensington VIC 3031, Australia","Macaulay Rd, Kensington, Victoria, Australia"
SRPVWAN0,MF Logistics Bvd,WA,6107,0.781,Solar,2024-12-12,2025-04-01,-32.0093962,115.9786633,Perth,,Western Australia,6107.0,Australia,"Logistics Bvd, Perth WA 6107, Australia","MF Logistics Bvd, Western Australia, Australia"
SRPYNS37,Mirvac Switchyards Building 6,NSW,2144,0.2,Solar,2025-02-25,2025-04-01,-33.86255,151.207935,Sydney,Council of the City of Sydney,New South Wales,2000.0,Australia,"Level 28/200 George St, Sydney NSW 2000, Australia","Mirvac Switchyards Building 6, New South Wales, Australia"
SRPXQL34,Oxley Grove Care Community,QLD,4077,0.278,Solar,2025-02-19,2025-04-02,-27.5782642,152.983536,Durack,Brisbane City,Queensland,4077.0,Australia,"276 Blunder Rd, Durack QLD 4077, Australia","Oxley Grove Care Community, Queensland, Australia"
SRPXNSW7,Stubbo,NSW,2852,520.393,Solar,2024-12-20,2025-04-02,-32.2970664,149.5332444,Stubbo,Mid-Western Regional Council,New South Wales,2852.0,Australia,"Stubbo NSW 2852, Australia","Stubbo, New South Wales, Australia"
SRPXQLB7,123 Sippy Downs,QLD,4556,0.2,Solar,2025-02-28,2025-04-09,-26.7139704,153.0617915,Sippy Downs,Sunshine Coast Regional,Queensland,4556.0,Australia,"123 Sippy Downs Dr, Sippy Downs QLD 4556, Australia","123 Sippy Downs, Queensland, Australia"
SRPXQLH5,Agile Energy,QLD,4220,0.152,Solar,2025-01-28,2025-04-09,-22.575197,144.0847926,,,Queensland,,Australia,"Queensland, Australia","Agile Energy, Queensland, Australia"
SRPYNS72,Baked Provisions Sydney,NSW,2170,0.2,Solar,2025-02-14,2025-04-09,-33.9365718,150.8856378,Prestons,Liverpool City Council,New South Wales,2170.0,Australia,"29 Lyn Parade, Prestons NSW 2170, Australia","Baked Provisions Sydney, New South Wales, Australia"
SRPXVCQ3,Chadstone Freshfood,VIC,3145,0.733,Solar,2025-03-27,2025-04-09,-37.8810091,145.0959519,Chadstone,City of Monash,Victoria,3148.0,Australia,"Chadstone VIC 3148, Australia","Chadstone Freshfood, Victoria, Australia"
SRPYNS86,Mcdonald College,NSW,2137,0.253,Solar,2025-03-20,2025-04-09,-33.8584442,151.0866883,North Strathfield,City of Canada Bay Council,New South Wales,2137.0,Australia,"17 George St, North Strathfield NSW 2137, Australia","Mcdonald College, New South Wales, Australia"
SRPXVCI2,Moe Newborough,VIC,3825,0.189,Solar,2025-01-29,2025-04-09,-38.18429440000001,146.2544694,Moe,,Victoria,3825.0,Australia,"Moe VIC 3825, Australia","Moe Newborough, Victoria, Australia"
SRPYNS83,Nepean Hospital,NSW,2747,0.52,Solar,2025-03-14,2025-04-09,-33.7592973,150.7137103,Kingswood,Penrith City Council,New South Wales,2747.0,Australia,"Somerset St, Kingswood NSW 2747, Australia","Nepean Hospital, New South Wales, Australia"
SRPXQLH0,PFI Darra,QLD,4076,0.246,Solar,2025-01-16,2025-04-09,-27.5757932,152.9560492,Darra,Brisbane City,Queensland,4076.0,Australia,"Building 5/36 Archerfield Rd, Darra QLD 4076, Australia","PFI Darra, Queensland, Australia"
SRPYNS64,REMONDIS,NSW,2322,0.551,Solar,2025-01-11,2025-04-09,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","REMONDIS, New South Wales, Australia"
SRPXQLI3,Story Fresh Produce,QLD,4358,0.201,Solar,2025-03-24,2025-04-09,-27.7134338,151.8781146,Cambooya,Toowoomba Regional,Queensland,4358.0,Australia,"363 Cambooya Connection Rd, Cambooya QLD 4358, Australia","Story Fresh Produce, Queensland, Australia"
SRPXQLI2,TIP TOP Carrara,QLD,4211,0.221,Solar,2025-03-26,2025-04-09,-28.0354868,153.3564211,Carrara,City of Gold Coast,Queensland,4211.0,Australia,"25 Keller Cres, Carrara QLD 4211, Australia","TIP TOP Carrara, Queensland, Australia"
SRPXVCP7,Truganina,VIC,3029,0.293,Solar,2025-02-26,2025-04-09,-37.8248334,144.7486991,Truganina,,Victoria,3029.0,Australia,"Truganina VIC 3029, Australia","Truganina, Victoria, Australia"
SRPYNS59,UPS SCS Australia,NSW,2175,0.4,Solar,2024-12-20,2025-04-09,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","UPS SCS Australia, New South Wales, Australia"
SRPXVCJ7,Petstock DC Avalon,VIC,3212,0.4,Solar,2025-02-19,2025-04-10,-38.0190235,144.4834572,Avalon,Greater Geelong City,Victoria,3212.0,Australia,"258 Beach Rd, Avalon VIC 3212, Australia","Petstock DC Avalon, Victoria, Australia"
SRPVSAZ0,REMONDIS,SA,5013,0.397,Solar,2025-01-11,2025-04-10,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","REMONDIS, South Australia, Australia"
SRPVSAZ7,BAE Systems Edinburgh Parks,SA,5111,0.162,Solar,2025-04-02,2025-04-11,-34.738053,138.6332525,Edinburgh,City of Salisbury,South Australia,5111.0,Australia,"Edinburgh SA 5111, Australia","BAE Systems Edinburgh Parks, South Australia, Australia"
SRPXVCQ2,Latrobe Leisure Morwell,VIC,3840,0.214,Solar,2025-03-24,2025-04-14,-38.2332555,146.4051695,Morwell,Latrobe City,Victoria,3840.0,Australia,"45 McDonald St, Morwell VIC 3840, Australia","Latrobe Leisure Morwell, Victoria, Australia"
SRPXQLB1,Acacia Ridge,QLD,4110,0.444,Solar,2025-02-20,2025-04-15,-27.5873761,153.0270551,Acacia Ridge,Brisbane City,Queensland,4110.0,Australia,"Acacia Ridge QLD 4110, Australia","Acacia Ridge, Queensland, Australia"
SRPXVCQ5,GPE_LYKA WELLNESS,VIC,3175,0.499,Solar,2025-04-02,2025-04-15,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","GPE_LYKA WELLNESS, Victoria, Australia"
SRPXVCP8,Greenlink 7,VIC,3977,0.42,Solar,2025-02-28,2025-04-15,-36.9847807,143.3906074,,,Victoria,,Australia,"Victoria, Australia","Greenlink 7, Victoria, Australia"
SRPYNS88,IBIS Care,NSW,2223,0.323,Solar,2025-03-23,2025-04-15,-33.9819652,151.1104994,Blakehurst,Georges River Council,New South Wales,2221.0,Australia,"24 Cheddar St, Blakehurst NSW 2221, Australia","IBIS Care, New South Wales, Australia"
SRPYNS66,Agile Energy,NSW,2015,0.361,Solar,2025-01-28,2025-04-17,-33.8666739,151.2096645,Sydney,Council of the City of Sydney,New South Wales,2000.0,Australia,"Level 16/9 Castlereagh St, Sydney NSW 2000, Australia","Agile Energy, New South Wales, Australia"
SRPXQLG8,Cairns Colonial Club,QLD,4870,0.208,Solar,2025-02-10,2025-04-17,-16.9115466,145.7480236,Manunda,Cairns Regional,Queensland,4870.0,Australia,"18-26 Cannon St, Manunda QLD 4870, Australia","Cairns Colonial Club, Queensland, Australia"
SRPYNS93,CALABRIA FAMILY WINES PTY LTD,NSW,2680,1.032,Solar,2025-04-02,2025-04-17,-34.2769501,146.0286805,Griffith,Griffith City Council,New South Wales,2680.0,Australia,"1283 Brayne Rd, Griffith NSW 2680, Australia","CALABRIA FAMILY WINES PTY LTD, New South Wales, Australia"
SRPVSAZ4,Pikes Wines Pty Ltd,SA,5453,0.2,Solar,2025-04-01,2025-04-17,-33.8873634,138.674942,Sevenhill,Clare and Gilbert Valleys Council,South Australia,5453.0,Australia,"233 Polish Hill Rd, Sevenhill SA 5453, Australia","Pikes Wines Pty Ltd, South Australia, Australia"
SRPVWAN4,Region Group Currambine,WA,6028,1.48,Solar,2025-01-29,2025-04-17,-31.7350917,115.7451643,Currambine,City of Joondalup,Western Australia,6028.0,Australia,"Currambine WA 6028, Australia","Region Group Currambine, Western Australia, Australia"
SRPXQLH3,Cubbie,QLD,4486,3.44,Solar,2025-01-29,2025-04-22,-22.575197,144.0847926,,,Queensland,,Australia,"Queensland, Australia","Cubbie, Queensland, Australia"
SRPXNSU4,DHL Skyline,NSW,2171,1.0,Solar,2025-02-25,2025-04-22,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","DHL Skyline, New South Wales, Australia"
SRPXVCP5,Hendys Road Numurkah,VIC,3636,6.162,Solar,2025-02-04,2025-04-22,-36.0667307,145.4784347,Numurkah,Moira Shire,Victoria,3636.0,Australia,"Hendys Rd, Numurkah VIC 3636, Australia","Hendys Road Numurkah, Victoria, Australia"
SRPVSAZ5,Woolworths Golden Grove (The Stables) 5632,SA,5125,0.2,Solar,2025-03-27,2025-04-22,-34.7904698,138.6975102,Golden Grove,City of Tea Tree Gully,South Australia,5125.0,Australia,"Golden Grove SA 5125, Australia","Woolworths Golden Grove (The Stables) 5632, South Australia, Australia"
SRPYNSA0,Gregory Hills Hotel,NSW,2557,0.2,Solar,2025-04-15,2025-04-23,-34.0225391,150.7655018,Gregory Hills,Camden Council,New South Wales,2557.0,Australia,"Central Hills Dr, Gregory Hills NSW 2557, Australia","Gregory Hills Hotel, New South Wales, Australia"
SRPVSAZ2,Moyhall,SA,5271,8.203,Solar,2025-03-05,2025-04-24,-37.0326147,140.6661117,Moyhall,Naracoorte Lucindale Council,South Australia,5271.0,Australia,"Moyhall SA 5271, Australia","Moyhall, South Australia, Australia"
SRPXQLI8,AU371,QLD,4178,0.291,Solar,2025-04-03,2025-05-02,-22.575197,144.0847926,,,Queensland,,Australia,"Queensland, Australia","AU371, Queensland, Australia"
SRPYNS90,Kerarbury Station Almond Orchard,NSW,2706,6.004,Solar,2025-03-27,2025-05-02,-34.5682529,145.9987084,Darlington Point,Murrumbidgee Council,New South Wales,2706.0,Australia,"Kerarbury St, Darlington Point NSW 2706, Australia","Kerarbury Station Almond Orchard, New South Wales, Australia"
SRPVSAZ3,Steel Building Systems,SA,5113,0.2,Solar,2025-03-24,2025-05-02,-30.0002315,136.2091547,,,South Australia,,Australia,"South Australia, Australia","Steel Building Systems, South Australia, Australia"
SRPYNS97,Temperzone,NSW,2148,0.36,Solar,2025-04-10,2025-05-02,-32.9126676,151.7325452,Newcastle,Newcastle City Council,New South Wales,2300.0,Australia,"14 Carnegie Pl Seven Hills West, Newcastle NSW 2300, Australia","Temperzone, New South Wales, Australia"
SRPXQLG9,Cowboys HQ,QLD,4810,0.264,Solar,2025-01-17,2025-05-14,-19.259016,146.8170013,Townsville City,Townsville City,Queensland,4810.0,Australia,"313-335 Flinders St, Townsville City QLD 4810, Australia","Cowboys HQ, Queensland, Australia"
SRPYNS99,DUX MANUFACTURING LIMITED,NSW,2577,0.4,Solar,2025-04-11,2025-05-14,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","DUX MANUFACTURING LIMITED, New South Wales, Australia"
SRPXVCH9,GPT Highpoint DJ,VIC,3032,0.47,Solar,2024-12-05,2025-05-14,-37.77376539999999,144.8896643,Maribyrnong,Maribyrnong City,Victoria,3032.0,Australia,"120-200 Rosamond Rd, Maribyrnong VIC 3032, Australia","GPT Highpoint DJ, Victoria, Australia"
SRPXQLJ2,Mercy Place Cairns,QLD,4870,0.279,Solar,2025-04-30,2025-05-14,-16.929982,145.7492566,Westcourt,Cairns Regional,Queensland,4870.0,Australia,"257 Gatton St, Westcourt QLD 4870, Australia","Mercy Place Cairns, Queensland, Australia"
SRPXQLE4,Mirani Water Recycling Facility,QLD,4754,0.17,Solar,2024-11-29,2025-05-14,-21.1586195,148.8623419,Mirani,Mackay Regional,Queensland,4754.0,Australia,"Mirani QLD 4754, Australia","Mirani Water Recycling Facility, Queensland, Australia"
SRPYNSA3,OPAL Bankstown Terrace Care Community,NSW,2200,0.239,Solar,2025-04-23,2025-05-14,-33.9329353,151.02629,Bankstown,Canterbury-Bankstown Council,New South Wales,2200.0,Australia,"14/20 Eldridge Rd, Bankstown NSW 2200, Australia","OPAL Bankstown Terrace Care Community, New South Wales, Australia"
SRPYNSA4,OPAL Berkeley Care Community,NSW,2261,0.169,Solar,2025-04-23,2025-05-14,-34.476942,150.838983,Berkeley,Wollongong City Council,New South Wales,2506.0,Australia,"Berkeley NSW 2506, Australia","OPAL Berkeley Care Community, New South Wales, Australia"
SRPXVCQ4,UCS Pakenham,VIC,3810,0.177,Solar,2025-04-02,2025-05-14,-38.0947162,145.470796,Pakenham,Cardinia Shire,Victoria,3810.0,Australia,"111 National Ave, Pakenham VIC 3810, Australia","UCS Pakenham, Victoria, Australia"
SRPVWAN6,Armadale Shopping Centre 576kW,WA,6112,0.576,Solar,2025-04-14,2025-05-15,-32.1515645,116.0140386,Armadale,City of Armadale,Western Australia,6112.0,Australia,"Armadale WA 6112, Australia","Armadale Shopping Centre 576kW, Western Australia, Australia"
