Project Name,State,MW Capacity,Fuel Source,lat,lng,lga,city,state_std,postcode,country,formatted_address,query_used
Smoky Creek and Guthrie's Gap Solar Farm,QLD,600.0,Solar,-22.575197,144.0847926,,,Queensland,,Australia,"Queensland, Australia","Smoky Creek and Guthrie's Gap Solar Farm, Queensland, Australia"
Snowtown North Solar Farm,SA,44.0,Solar,-33.7809175,138.2149099,Snowtown,Wakefield Regional Council,South Australia,5520.0,Australia,"Snowtown SA 5520, Australia","Snowtown North Solar Farm, South Australia, Australia"
Spicers Creek Wind Farm,NSW,700.0,Wind,-32.3876753,149.1599339,Spicers Creek,Dubbo Regional Council,New South Wales,2820.0,Australia,"Spicers Creek NSW 2820, Australia","Spicers Creek Wind Farm, New South Wales, Australia"
Theodore Wind Farm,QLD,1152.0,Wind,-24.9474548,150.0755894,Theodore,Banana Shire,Queensland,4719.0,Australia,"Theodore QLD 4719, Australia","Theodore Wind Farm, Queensland, Australia"
Thunderbolt Wind Farm stage 1,NSW,230.0,Wind,-30.7454926,151.2775848,Kentucky,Tamworth Regional Council,New South Wales,2354.0,Australia,"Kentucky NSW 2354, Australia","Thunderbolt Wind Farm stage 1, New South Wales, Australia"
Upper Calliope Solar Farm,QLD,1300.0,Solar,-24.0062017,151.2011287,Calliope,Gladstone Regional,Queensland,4680.0,Australia,"Calliope QLD 4680, Australia","Upper Calliope Solar Farm, Queensland, Australia"
Vales Point Solar Farm,NSW,62.0,Solar,-33.1437815,151.5373285,Mannering Park,Central Coast Council,New South Wales,2259.0,Australia,"Vales Point, Mannering Park NSW 2259, Australia","Vales Point Solar Farm, New South Wales, Australia"
Valley of the Winds,NSW,936.0,Wind,-31.2532183,146.921099,,,New South Wales,,Australia,"New South Wales, Australia","Valley of the Winds, New South Wales, Australia"
Vast Solar Facility - VS1,SA,30.0,Solar,-32.3207707,137.6267813,Carriewerloo,Pastoral Unincorporated Area,South Australia,5713.0,Australia,"Carriewerloo SA 5713, Australia","Vast Solar Facility - VS1, South Australia, Australia"
Walgett Solar Farm,NSW,25.0,Solar,-30.0215209,148.1167617,Walgett,Walgett Shire Council,New South Wales,2832.0,Australia,"Walgett NSW 2832, Australia","Walgett Solar Farm, New South Wales, Australia"
Waroona Solar Fam,WA,120.0,Solar,-32.8429333,115.9214559,Waroona,Shire of Waroona,Western Australia,6215.0,Australia,"Waroona WA 6215, Australia","Waroona Solar Fam, Western Australia, Australia"
West Mokoan Solar Farm,VIC,300.0,Solar,-36.38,146.03,Bungeet West,Benalla Rural City,Victoria,3725.0,Australia,"Mokoan West, Bungeet West VIC 3725, Australia","West Mokoan Solar Farm, Victoria, Australia"
Winton North Solar Farm,VIC,100.0,Solar,-36.4739407,146.1354628,Winton North,Benalla Rural City,Victoria,3673.0,Australia,"Winton North VIC 3673, Australia","Winton North Solar Farm, Victoria, Australia"
Woolsthorpe Wind Farm,VIC,70.0,Wind,-38.1600531,142.3765783,Woolsthorpe,Moyne Shire,Victoria,3276.0,Australia,"Woolsthorpe VIC 3276, Australia","Woolsthorpe Wind Farm, Victoria, Australia"
